"id","goal_id","sort_number","title","description"
31,4,3,"4.3","Inden 2030 skal alle kvinder og mænd sikres lige adgang til teknisk, erhvervs- og højere uddannelse, herunder universitet, i høj kvalitet og til en overkommelig pris.
"
32,4,4,"4.4","Inden 2030 skal antallet af unge og voksne, der har relevante færdigheder, herunder tekniske og erhvervsfærdigheder, for ansættelse, anstændige job og iværksætteri, øges væsentligt.

 

"
33,4,5,"4.5","Inden 2030 skal ulighed mellem kønnene i uddannelse afskaffes, og der skal sikres lige adgang til alle niveauer af uddannelse og erhvervsundervisning for de mest udsatte, herunder mennesker med handicap, oprindelige folk og børn i sårbare situationer."
34,4,6,"4.6","Inden 2030 skal alle unge og en væsentlig del af voksne, både mænd og kvinder, have  opnået færdigheder i at læse og regne."
35,4,7,"4.7","Inden 2030 skal alle elever have tilegnet sig den viden og de færdigheder, som er nødvendig for at fremme en bæredygtig udvikling, herunder bl.a. gennem undervisning i bæredygtig udvikling og en bæredygtig livsstil, menneskerettigheder, ligestilling mellem kønnene, fremme af en fredelig og ikke-voldelig kultur, globalt borgerskab og anerkendelse af kulturel mangfoldighed og af kulturens bidrag til en bæredygtig udvikling."
36,4,8,"4.a","Uddannelsesinstitutioner skal bygges og opgraderes, så de tager hensyn til barnets tarv, handicap og køn, og så de skaber et sikkert, ikke-voldeligt, rummeligt og effektivt læringsmiljø for alle. "
37,4,9,"4.b","Inden 2020 skal antallet af stipendier til udviklingslande øges væsentligt globalt, især til de mindst udviklede lande, udviklingslande, der består af små øer, og afrikanske lande, for brug til indskrivning på højere uddannelser, herunder erhvervsundervisning og informations- og kommunikationsteknologi, tekniske, ingeniør- og videnskabelige programmer, i udviklede lande og andre udviklingslande."
38,4,10,"4.c","Inden 2030 skal antallet af uddannede lærere øges væsentligt, bl.a. gennem internationalt samarbejde om lærerundervisning i udviklingslande, især de mindst udviklede lande og udviklingslande, der består af små øer."
39,5,1,"5.1","Stop alle former for diskrimination af alle kvinder og piger overalt."
40,5,2,"5.2","Alle former for vold mod alle kvinder og piger i de offentlige og private rum skal elimineres, herunder menneskehandel og seksuel og andre former for udnyttelse."
41,5,3,"5.3","Alle skadelige skikke som børneægteskaber,  tidlige ægteskaber og tvangsægteskaber samt omskæring af piger skal elimineres."
42,5,4,"5.4","Ulønnet omsorg og husarbejde skal anerkendes og værdisættes gennem tilgængelighed af offentlige serviceydelser, infrastruktur og politikker for social beskyttelse samt ved at fremme delt ansvar i hjemmet og i forhold til familien, som nationalt passende."
43,5,5,"5.5","Kvinder skal sikres fuld og effektiv deltagelse og lige muligheder for lederskab på alle niveauer af beslutningstagning inden for politik, økonomi og det offentlige liv."
44,5,6,"5.6","Der skal sikres universel adgang til seksuel og reproduktiv sundhed og reproduktive rettigheder i overensstemmelse med handlingsprogrammet fra den Internationale Konference om Befolkning og Udvikling og Beijing-handlingsplanen samt slutdokumenterne fra deres opfølgningskonferencer."
45,5,7,"5.a","Der skal gennemføres reformer for at give kvinder lige rettigheder til økonomiske ressourcer samt adgang til ejerskab og kontrol over jord og andre former for ejendom, finansielle tjenester, arv og naturressourcer, i henhold til nationale love."
46,5,8,"5.b","Øge brug af teknologi, som hjælpemiddel, især informations- og kommunikationsteknologi, for at fremme kvinders rettigheder og muligheder."
47,5,9,"5.c","Fornuftige politikker og lovgivning, der kan håndhæves, og som fremmer ligestilling mellem kønnene og styrker alle kvinders og pigers rettigheder og muligheder på alle niveauer, skal vedtages og styrkes."
48,6,1,"6.1","Inden 2030 skal der opnås universel og lige adgang til sikkert drikkevand til en overkommelig pris for alle."
49,6,2,"6.2","Inden 2030 skal der opnås lige adgang til egnet sanitet og hygiejne for alle, og ordentlige toilet forhold for alle, med være særlig opmærksom på kvinder og pigers behov, og på mennesker i sårbare situationer."
50,6,3,"6.3","Inden 2030 skal vandkvaliteten forbedres  ved at reducere forurening, afskaffe affaldsdumping og minimere udslip af farlige kemikalier og materialer,  og ved at halvere andelen af ubehandlet spildevand og væsentligt øge genanvendelse og sikker genbrug globalt."
51,6,4,"6.4","Inden 2030 skal effektiviteten af vandforbrug indenfor alle sektorer væsentlig øges, og der skal sikres bæredygtig opsamling og forsyning af frisk vand for at imødekomme vandknaphed, og for at reducere antallet af mennesker, der lider af vandmangel, betydeligt."
52,6,5,"6.5","Inden 2030 skal forvaltning af vandresourcer integreres på alle niveauer, herunder gennem samarbejde på tværs af landegrænser, som det er relevant."
53,6,6,"6.6","Inden 2020 skal vandrelaterede økosystemer, herunder bjerge, skove, vådområder, floder, grundvandsbassiner og søer beskyttes og gendannes."
54,6,7,"6.a","Inden 2030 skal det internationale samarbejde og støtte til kapacitetsopbygning i udviklingslande udvides indenfor vand- og sanitetsrelaterede aktiviteter og programmer, herunder opsamling af vand, afsaltning, vandeffektivitet, spildevandsbehandling, genbrug og genanvendelsesteknologier."
55,6,8,"6.b","Støtte og styrke lokalsamfundenes deltagelse i at forbedre forvaltningen af vand- og sanitet."
56,7,1,"7.1","Inden 2030 skal alle sikres adgang til pålidelig og moderne energiforsyning til en overkommelig pris."
57,7,2,"7.2","Inden 2030 skal andelen af vedvarende energi i det globale energimix øges væsentligt."
58,7,3,"7.3","Inden 2030 skal den globale hastighed for forbedring af energieffektiviteten fordobles."
59,7,4,"7.a","Inden 2030 skal det internationale samarbejde udvides for at lette adgang til forskning i ren energi og teknologi, herunder vedvarende energi, energieffektivitet og avanceret og renere teknologi indenfor fossile brændstoffer, og for at fremme investeringer i energiinfrastruktur og ren energiteknologi."
60,7,5,"7.b","Inden 2030 skal infrastrukturen udvides og teknologien opgraderes til at kunne leverere moderne og bæredygtige energiforsyning til alle i udviklingslandene, især de mindst udviklede lande, udviklingslande bestående af små øer og udviklingslande uden adgang til havet, i overensstemmelse med deres respektive støtteprogrammer."
61,8,1,"8.1","Den årlige økonomisk vækst pr. indbygger skal fastholdes i overensstemmelse med nationale forhold og, især, på mindst 7% vækst i bruttonationalproduktet (BNP) pr. år i de mindst udviklede lande."
62,8,2,"8.2","Der skal opnås højere økonomisk produktivitet gennem diversificering, teknologisk opgradering og innovation, blandt andet gennem fokus på høj værditilførsel og arbejdskraftintensive sektorer."
63,8,3,"8.3","Udviklingsorienterede politikker skal fremmes, der støtter produktive aktiviteter, skaber anstændige jobs, iværksætteri, kreativitet og innovation, og som fremmer en formalisering og udvikling af mikro-, små- og mellemstore virksomheder, gennem bl.a. adgang til finansielle tjenesteydelser."
64,8,4,"8.4","Gradvist forbedre indtil 2030 den globale ressourceudnyttelse inden for forbrug og produktion, og forsøge at afkoble økonomisk vækst fra miljøforringelse, i overensstemmelse med den 10‑årige Ramme for Programmer for Bæredygtig Forbrug- og Produktion, med de udviklede lande i spidsen."
65,8,5,"8.5","Inden 2030 skal der opnås fuld og produktiv beskæftigelse og anstændigt arbejde for alle kvinder og mænd, herunder også unge og personer med handicap, og med lige løn for arbejde af samme værdi."
66,8,6,"8.6","Inden 2020 skal andelen af unge, der ikke er i beskæftigelse eller under uddannelse væsentligt reduceres."
67,8,7,"8.7","Der skal træffes øjeblikkelige og effektive foranstaltninger for at udrydde tvangsarbejde, moderne slaveri og menneskehandel og for at sikre forbud mod og afskaffelse af de værste former for børnearbejde, herunder rekruttering og anvendelse af børnesoldater, og for at udrydde børnearbejde i alle dens former inden 2025."
68,8,8,"8.8","Arbejdstagernes rettigheder skal beskyttes og et sikkert og stabilt arbejdsmiljø for alle arbejdstagere skal fremmes, herunder for migrantarbejdere, især kvindelige migranter, og dem i usikre beskæftigelsesforhold."
69,8,9,"8.9","Inden 2030 skal der udformes og gennemføres politikker, der fremmer bæredygtig turisme, som skaber arbejdspladser og fremmer lokale kultur og produkter."
70,8,10,"8.10","Styrke indenlandske finansielle institutioners kapacitet til at fremme og udvide adgang til bankforretninger, forsikring og finansielle tjenesteydelser."
71,8,11,"8.a","Handelsrelateret bistand til udviklingslandene skal øges, især til de mindst udviklede lande, bl.a. gennem den Styrkede Integrerede Ramme for Handelsrelateret Teknisk Bistand til de Mindst Udviklede Lande."
72,8,12,"8.b","Inden 2020 skal der udvikles og igangsættes en global strategi for at få unge i arbejde, og Den Internationale Arbejdsorganisations (ILO) Globale Jobpagt skal gennemføres."
73,9,1,"9.1","Der skal udvikles god kvalitet, pålidelig, bæredygtig og robust infrastruktur, herunder regionale og grænseoverskridende infrastruktur, for at støtte den økonomiske udvikling og menneskelig trivsel, med fokus på fornuftig og lige adgang for alle."
74,9,2,"9.2","En inklusiv og bæredygtig industrialisering skal fremmes, og industriens andel af beskæftigelsen og bruttonationalproduktet skal øges i betydelig grad inden 2030 i overensstemmelse med nationale forhold. l de mindst udviklede lande skal industriens markedsandel fordobles."
75,9,3,"9.3","Små og mellemstore virksomheders adgang til finansielle tjenesteydelser, herunder lånemuligheder skal øges, især i udviklingslandene, og de skal integreres bedre i værdikæder og markeder."
76,9,4,"9.4","Inden 2030, skal infrastrukturen og eftermonteringsindustrien opgraderes for at gøre dem bæredygtige, med mere effektiv udnyttelse af ressourcer og øget brug af rene og miljøvenlige teknologier og industrielle processer. Alle lande skal handle ud fra deres respektive kapacitet."
77,9,5,"9.5","Videnskabelig forskning skal udvides og den teknologisk kapacitet i de industrielle sektorer i alle lande skal opgraderes, især i udviklingslandene, ved bl.a. inden 2030, at fremme innovation og væsentlig forøge det samlede antal forsknings- og udviklingsmedarbejdere pr. 1 million indbyggere, samt ved at øge de offentlige og private midler til forskning og udvikling."
78,9,6,"9.a","Facilitere en bæredygtig og robust infrastrukturudvikling i udviklingslandene gennem øget økonomisk, teknologisk og teknisk støtte til afrikanske lande, de mindst udviklede lande, udviklingslande uden adgang til havet, og små østater under udvikling."
79,9,7,"9.b","Støtte national teknologiudvikling, forskning og innovation i udviklingslande, bl.a. ved at sikre et gunstigt politisk miljø for bl.a. industriel diversificering og højere merværdi for varer."
80,9,8,"9.c","Adgang til informations- og kommunikationsteknologi skal øges betydeligt og det skal tilstræbes at tilbyde alle adgang til Internettet, til en overkommenlig pris, i de mindst udviklede lande, inden 2020."
81,10,1,"10.1","Inden 2030 skal der opnås og fastholdes en indkomststigning for de nederste 40% af befolkningen, der er højere end landsgennemsnittet."
82,10,2,"10.2","Inden 2030 skal social, økonomisk og politisk inddragelse af alle styrkes og fremmes, uanset alder, køn, handicap, race, etnicitet, oprindelse, religion eller økonomisk eller anden status."
83,10,3,"10.3","Der skal sikres lige muligheder og samfundsforårsaget uligheder skal reduceres, bl.a. ved at afskaffe diskriminerende love, politikker og skikke, og ved at fremme hensigtsmæssig lovgivning, politikker og foranstaltninger til at imødegå dette."
84,10,4,"10.4","Der skal vedtages politikker, især finans-, løn og socialpolitik, og gradvist opnås større lighed."
85,10,5,"10.5","Regulering og overvågning af de globale finansielle markeder og institutioner skal forbedres, og implementering af disse regulativer skal styrkes."
86,10,6,"10.6","Udviklingslandene skal sikres øget repræsentation og stemme i beslutningstagning i de internationale økonomiske og finansielle institutioner med henblik på at opnå mere effektive, troværdige, ansvarlige og legitime institutioner."
87,10,7,"10.7","Facilitere en velordnet, sikker, regelmæssig og ansvarlige migration og mobilitet af mennesker, bl.a. ved at  gennemføre planlagte og velforvaltet migrationspolitikker."
88,10,8,"10.a","Implementering af princippet om særlig og differentieret hensyn til udviklingslandene, især de mindst udviklede lande, i overensstemmelse med Verdenshandelsorganisationen WTO-aftalerne."
89,10,9,"10.b","Der skal opmuntres til at give officiel udviklingsbistand og finansielle tilførsler, herunder direkte udenlandske investeringer, til lande, hvor behovet er størst, og især til de mindst udviklede lande, de afrikanske lande, udviklingslande uden adgang til havet, små udviklings-østater. Bidrag og investeringer skal gives i overensstemmelse med udviklingslandenes nationale planer og programmer."
90,10,10,"10.c","Inden 2030 skal omkostninger i forbindelse migranters pengeoverførsler reduceres til mindre end 3%, og overførselsveje med omkostninger over 5% skal elimineres."
91,11,1,"11.1","Inden 2030 skal alle sikres adgang til egnede og sikre bolig til en overkommelige pris og grundlæggende tjenesteydelser og sanering af slumkvarterer."
92,11,2,"11.2","Inden 2030 skal der skabes adgang for alle til sikre, tilgængelige og bæredygtige transportsystemer til en overkommelig pris, trafiksikkerheden skal forbedres bl.a. ved at udbygge den kollektive trafik med særlig hensyn til behov hos sårbare befolkningsgrupper, kvinder, børn, personer med handicap og de ældre."
93,11,3,"11.3","Inden 2030 skal byudvikling gøres mere inkluderende og bæredygtig og kapaciteten skal øges til en inddragende, integreret og bæredygtig boligplanlægning og styring i alle lande."
94,11,4,"11.4","Styrke indsatsen for at beskytte og bevare verdens kultur- og naturarv."
95,11,5,"11.5","Inden 2030 skal der være et betydelig fald i antallet af dødsfald og antallet af berørte personer, samt reduktion i de direkte økonomiske tab i forhold til det globale bruttonationalprodukt, som følge af katastrofer, herunder vandrelaterede katastrofer, med fokus på beskyttelse af de fattige og mennesker i sårbare situationer."
96,11,6,"11.6","Inden 2030 skal den negative miljøbelastning pr. Indbygger reduceres, herunder ved at lægge særlig vægt på luftkvalitet og på kommunalt og anden affaldsforvaltning."
97,11,7,"11.7","Inden 2030 skal der gives universel adgang til sikre, inkluderende og tilgængelige, grønne og offentlige rum, især for kvinder og børn, for ældre mennesker og for personer med handicap."
98,11,8,"11.a","Støtte positive økonomiske, sociale og miljømæssige forbindelser mellem by, opland og landdistrikter ved at styrke den nationale og regionale udviklingsplanlægning."
99,11,9,"11.b","Inden 2020 skal der ske en betydelig stigning i antallet af byer og bosættelser, der vedtager og gennemfører integrerede politikker og planer, der stræber mod inklusion, ressourceeffektivitet, modvirkning og tilpasning til klimaændringer, modstandsdygtighed over for katastrofer, og som udvikler og gennemfører helhedsorienteret katastrofe- risikostyring på alle niveauer, i overensstemmelse med Sendai-rammen for Katastrofe- og Risikoforebyggelse (Sendai Framework for Disaster Risk Reduction 2015-2030)."
100,11,10,"11.c","Støtte de mindst udviklede lande, bl.a. gennem finansiel og teknisk bistand, til at konstruere bæredygtige og robuste bygninger med anvendelse af lokale materialer."
101,12,1,"12.1","Gennemføre det 10-årige Rammeprogram for Bæredygtige Forbrug- og Produktionsmønstre, alle lande skal tage handling, med de udviklede lande i spidsen, under hensyntagen til udviklingen og mulighederne i udviklingslandene."
102,12,2,"12.2","Inden 2030 skal der opnås en bæredygtig forvaltning og effektiv udnyttelse af naturressourcer."
103,12,3,"12.3","Inden 2030 skal det globale madspild på detail- og forbrugerniveau pr. indbygger halveres og fødevaretab i produktions- og forsyningskæder, herunder tab af afgrøder efter høst, skal reduceres."
104,12,4,"12.4","Inden 2020 skal der opnås en miljømæssig forsvarlig håndtering af kemikalier og affald i hele deres livscyklus, i overensstemmelse med de aftalte internationale rammebetingelser, og deres udledning i luft, vand og jord skal væsentligt reduceres for at mindske deres negative indvirkninger på menneskers sundhed og miljøet."
105,12,5,"12.5","Inden 2030 skal affaldsmængden væsentligt reduceres gennem forebyggelse, reduktion, genvinding og genbrug."
106,12,6,"12.6","Opmuntre virksomheder, især store og transnationale virksomheder, til at arbejde bæredygtig og til at integrere oplysninger om bæredygtighed i deres rapporteringscyklus."
107,12,7,"12.7","Fremme bæredygtige offentlige indkøbspraksis, der er i overensstemmelse med nationale politikker og prioriteter."
108,12,8,"12.8","Inden 2030 skal det sikres, at mennesker alle steder, har den relevante information og viden om bæredygtig udvikling og livsstil i harmoni med naturen."
109,12,9,"12.a","Støtte udviklingslande i at styrke deres  videnskabelige og teknologiske kapacitet til at bevæge sig i retning af mere bæredygtige forbrugs- og produktionsmønstre."
110,12,10,"12.b","Udvikle og indføre værktøjer til at overvåge indvirkningerne af bæredygtig udvikling på bæredygtig turisme, der skaber arbejdspladser og fremmer lokal kultur og produkter."
111,12,11,"12.c","Rationalisere ineffektive fossile brændstof-subsidier, der tilskynder unødvendigt forbrug, ved at fjerne markedsforvridninger, i overensstemmelse med nationale forhold, herunder omlægning af beskatningsregler og udfasning af skadelige subsidier, hvor de eksisterer, for at afspejle deres miljøpåvirkninger, under fuld hensyntagen til de særlige behov og vilkår, der gør sig gældende for udviklingslande, og minimere eventuelle negative virkninger på deres udvikling på en måde, der beskytter de fattige og de berørte samfund."
112,13,1,"13.1"," Styrke modstandskraft og tilpasningsevne til klimarelaterede risici og naturkatastrofer i alle lande."
113,13,2,"13.2","Integrere tiltag mod klimaforandringer i nationale politikker, strategier og planlægning."
114,13,3,"13.3","Forbedre undervisning, viden, og den menneskelige og institutionelle kapacitet til at  modvirke, tilpasse, begrænse skaderne og tidlig varsling af klimaændringer."
115,13,4,"13.a","Indfri de udviklede landes forpligtelse, som underskrivere af FN's Rammekonvention om Klimaændringer, til målet om i fællesskab at mobilisere 100 mia. USD årligt inden 2020 fra alle kilder, for at imødekomme udviklingslandenes behov for meningsfulde modvirkningstiltag og gennemskuelighed ved gennemførelse og fuld igangsættelse af Den Grønne Klimafond via dens kapitalgrundlag snarest muligt."
116,13,5,"13.b","Fremme mekanismer, der kan øge kapaciteten til effektiv planlægning og forvaltning, som relaterer sig til klimaændringer i de mindst udviklede lande og små østater, og med fokus på kvinder, de unge samt lokale og marginaliserede samfund."
117,14,1,"14.1","Inden 2025, skal alle former for havforurening forhindres og væsentligt reduceres, især forurening forårsaget af landbaserede aktiviteter, herunder havaffald og forurening med næringsstoffer."
118,14,2,"14.2","Inden 2020, skal hav- og kystnære økosystemer beskyttes og forvaltes bæredygtigt for at undgå større negativ indvirkning, bl.a. ved at styrke deres modstandskraft og ved at genoprette dem for at opnå sunde og produktive have."
119,14,3,"14.3","Minimering og håndtering af indvirkningen af forsuringen af havene, bl.a. gennem øget videnskabeligt samarbejde på alle niveauer."
120,14,4,"14.4","Inden 2020, skal fiskeri effektivt reguleres, og der skal sættes en stopper for overfiskeri, for ulovligt, urapporteret og ureguleret fiskeri og for destruktive fiskerimetoder. Der skal implementeres videnskabsbaserede forvaltningsplaner for at genoprette fiskebestande hurtigst mulig, og som minimum til et niveau, der giver et bæredygtigt udbytte vurderet alt efter deres biologiske karakteristika."
121,14,5,"14.5","Inden 2020, skal mindst 10% af kyst- og havområder være beskyttet, i overensstemmelse med national og international lovgivning og baseret på den bedste tilgængelige videnskabelig information."
122,14,6,"14.6","Inden 2020, skal visse former for fiskeristøtte, der forårsager overkapacitet og overfiskeri, forbydes, og støtteordninger, der bidrager til ulovlig, urapporteret og ureguleret fiskeri, skal fjernes, og der skal afstås fra at indføre nye lignende støtteordninger, idet det erkendes at passende og effektiv special- og differentieret behandling af udviklingslande og de mindst udviklede lande bør være en integreret del af Verdenshandelsorganisationens forhandlinger om fiskeristøtteordninger [c]."
123,14,7,"14.7","Inden 2030, skal de økonomiske fordele øges for små østater under udvikling og de mindst udviklede lande i forhold til bæredygtig brug af havressourcer, herunder bæredygtig forvaltning af dambrug, akvakultur og turisme."
124,14,8,"14.a","Øge den videnskabelig viden, udvikle forskningskapacitet og overføre havteknologi, i henhold til ""the Intergovernmental Oceanographic Commission Criteria and Guidelines on the Transfer of Marine Technology"", for at forbedre havenes sundhedstilstand og for at øge havbiodiversitetens bidrag til udviklingen i udviklingslande, især små østater under udvikling og de mindst udviklede lande."
125,14,9,"14.b","Give småfiskere adgang til havressourcer og markeder."
126,14,10,"14.c","Øge beskyttelse og bæredygtigt brug af havene og deres ressourcer ved at implementere den internationale lovgivning, som afspejlet i De Forenede Nationers Havretskonvention, som angiver de juridiske rammer for bevarelse og bæredygtigt brug af havene og deres ressourcer, som anført i paragraf 158 i ""The future we want""."
127,15,1,"15.1","Inden 2020, sikre bevarelse, genoprettelse og bæredygtigt brug af økosystemer på land og i ferskvand, specielt skove, vådområder, bjerge og tørområder i henhold til forpligtigelser under internationale aftaler."
128,15,2,"15.2","Inden 2020, fremme bæredygtig forvaltning af alle typer af skove, stoppe skovrydning, genskabe forringede skove og væsentligt øge skovrejsning og skovplantning globalt set."
129,15,3,"15.3","Inden 2030, bekæmpe ørkendannelse, genoprette forringet land og jord, herunder land påvirket af ørkendannelse, tørke og oversvømmelse, og forsøge at opnå en jordforringelses-neutral verden."
130,15,4,"15.4","Inden 2030, sikre beskyttelse af bjergøkosystemer, herunder deres biodiversitet, for at kunne øge deres evne til at bidrage til bæredygtig udvikling."
131,15,5,"15.5","Tage omgående og væsentlig handling for at begrænse forringelsen af naturlige levesteder, stoppe tab af biodiversitet og, inden 2020, beskytte og forhindre udryddelse af truede arter."
132,15,6,"15.6","Fremme retfærdig og ligelig fordeling af fordelene ved at bruge genetiske ressourcer og fremme en passende adgang til sådanne ressourcer, som aftalt internationalt."
133,15,7,"15.7","Tage omgående handling for at stoppe krybskytteri og ulovlig handel med beskyttede dyre- og plantearter og adressere både efterspørgsel og udbud af ulovlige vildtdyrprodukter."
